rank_no,rank,oos_rmse_err,oos_wlp_err,coef_mae,fold_mae,gate_abs,target,scale,train_mode,margin,margin_rev,ht_sign,htsurp,spread,td_rev,tm_rev,2017_rmse,2017_bets,2018_rmse,2018_bets
78,3565.663117904587,0.01956596825890422,422,0.28299985407720907,0.09610877972985872,1504,resid_withot,xscale,expanding,line,True,-1,expected,line,True,False,9.858626445567046,468,10.168486363917784,370
79,3565.6631179045876,0.01956596825890422,422,0.2829998540772094,0.09610877972985872,1504,resid_withot,xyscale,expanding,expected,False,-1,expected,line,True,False,9.858626445567046,468,10.168486363917784,370
80,3565.6631179045876,0.01956596825890422,422,0.2829998540772094,0.09610877972985872,1504,resid_withot,xyscale,expanding,line,True,-1,expected,line,True,False,9.858626445567046,468,10.168486363917784,370
81,3575.002891839759,0.020006812922948924,440,0.24789698435786467,0.09523392980458312,1254,resid_withot,xscale,expanding,expected,False,-1,line,line,False,True,9.858742622558513,467,10.168811031590362,380
82,3575.002891839759,0.020006812922948924,440,0.24789698435786497,0.09523392980458312,1254,resid_withot,xyscale,expanding,expected,False,-1,line,line,False,True,9.858742622558513,467,10.168811031590362,380
83,3575.002891839759,0.020006812922948924,440,0.24789698435786467,0.09523392980458312,1254,resid_withot,xscale,expanding,line,True,-1,line,line,False,True,9.858742622558513,467,10.168811031590362,380
84,3575.002891839759,0.020006812922948924,440,0.24789698435786497,0.09523392980458312,1254,resid_withot,xyscale,expanding,line,True,-1,line,line,False,True,9.858742622558513,467,10.168811031590362,380
85,3575.734893628552,0.01956596825890422,422,0.29307162980117385,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,True,1,expected,line,False,False,9.858626445567046,468,10.168486363917784,370
86,3575.734893628552,0.01956596825890422,422,0.29307162980117385,0.09610877972985872,1504,resid_withot,xscale,expanding,line,False,1,expected,line,False,False,9.858626445567046,468,10.168486363917784,370
87,3575.7348936285525,0.01956596825890422,422,0.2930716298011742,0.09610877972985872,1504,resid_withot,xyscale,expanding,expected,True,1,expected,line,False,False,9.858626445567046,468,10.168486363917784,370
88,3575.7348936285525,0.01956596825890422,422,0.2930716298011742,0.09610877972985872,1504,resid_withot,xyscale,expanding,line,False,1,expected,line,False,False,9.858626445567046,468,10.168486363917784,370
89,3581.8187814463313,0.01956596825890422,422,0.299155517618953,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,False,-1,expected,line,True,True,9.858626445567046,468,10.168486363917784,370
90,3581.8187814463313,0.01956596825890422,422,0.29915551761895326,0.09610877972985872,1504,resid_withot,xyscale,expanding,expected,False,-1,expected,line,True,True,9.858626445567046,468,10.168486363917784,370
91,3581.8187814463313,0.01956596825890422,422,0.299155517618953,0.09610877972985872,1504,resid_withot,xscale,expanding,line,True,-1,expected,line,True,True,9.858626445567046,468,10.168486363917784,370
92,3581.8187814463313,0.01956596825890422,422,0.29915551761895326,0.09610877972985872,1504,resid_withot,xyscale,expanding,line,True,-1,expected,line,True,True,9.858626445567046,468,10.168486363917784,370
93,3586.684860850806,0.01956596825890422,422,0.30402159702342785,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,False,-1,expected,expected,False,False,9.858626445567046,468,10.168486363917784,370
94,3586.684860850806,0.01956596825890422,422,0.3040215970234282,0.09610877972985872,1504,resid_withot,xyscale,expanding,expected,False,-1,expected,expected,False,False,9.858626445567046,468,10.168486363917784,370
