GAME_ID,Date,HomeTeam,AwayTeam,HomeSpread_AtOpen,HomeSpread_AtClose,2H_HomeSpread,Over_AtClose,2H_Over,ht_home,ht_away,ht_margin,pregame_home_expected_margin,h2_home_expected_margin,ht_margin_surprise_vs_fullgame_half,second_half_margin_no_ot,second_half_margin_with_ot,sign_flip_close_to_h2
0020700862,2008-02-29 00:00:00,CHI,WAS,-5.0,-6.0,2.5,198.0,102.5,52.0,34.0,18.0,6.0,-2.5,15.0,-24.0,-24.0,True
0020700863,2008-02-29 00:00:00,NOH,UTA,-3.5,-5.0,2.0,208.5,109.0,58.0,45.0,13.0,5.0,-2.0,10.5,-1.0,-1.0,True
0020700867,2008-02-29 00:00:00,GSW,PHI,-6.0,-5.0,1.5,217.0,106.5,67.0,52.0,15.0,5.0,-1.5,12.5,7.0,7.0,True
0020700881,2008-03-02 00:00:00,IND,MIL,-5.0,-6.0,1.0,216.5,106.0,64.0,50.0,14.0,6.0,-1.0,11.0,8.0,8.0,True
0020700878,2008-03-02 00:00:00,NJN,SAS,5.0,4.5,-0.5,183.0,93.0,43.0,53.0,-10.0,-4.5,0.5,-7.75,0.0,0.0,True
0020700883,2008-03-02 00:00:00,HOU,DEN,-4.0,-5.0,1.5,207.5,102.5,50.0,40.0,10.0,5.0,-1.5,7.5,4.0,4.0,True
0020700887,2008-03-03 00:00:00,UTA,DAL,-6.0,-5.5,3.0,200.0,99.0,64.0,50.0,14.0,5.5,-3.0,11.25,-8.0,-8.0,True
0020700888,2008-03-03 00:00:00,LAC,PHI,2.0,3.5,-2.5,189.0,94.0,42.0,54.0,-12.0,-3.5,2.5,-10.25,-14.0,-14.0,True
0020700896,2008-03-04 00:00:00,POR,PHX,3.5,2.5,-4.5,208.0,101.0,41.0,60.0,-19.0,-2.5,4.5,-17.75,14.0,14.0,True
0020700897,2008-03-05 00:00:00,WAS,ORL,2.0,2.5,-2.5,200.5,101.0,44.0,59.0,-15.0,-2.5,2.5,-13.75,-15.0,-15.0,True
0020700899,2008-03-05 00:00:00,BOS,DET,-4.0,-4.0,1.5,183.0,89.5,47.0,37.0,10.0,4.0,-1.5,8.0,2.0,2.0,True
0020700908,2008-03-05 00:00:00,LAC,SAC,2.5,3.0,-2.5,198.0,97.0,43.0,54.0,-11.0,-3.0,2.5,-9.5,11.0,18.0,True
0020700914,2008-03-07 00:00:00,CHA,ATL,-2.0,-1.0,0.5,204.5,105.0,50.0,47.0,3.0,1.0,-0.5,2.5,12.0,12.0,True
0020700924,2008-03-08 00:00:00,CLE,IND,-7.5,-7.0,0.5,208.5,102.5,51.0,37.0,14.0,7.0,-0.5,10.5,-6.0,-6.0,True
